Date,interest rate,Price,Open,High,Low,Vol.,Change %,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-11-17,1.16,7700.0,7853.7,8000.2,7534.7,117350.0,-1.96,1093.15,2578.85009765625,23358.240234375,6782.7900390625,3.0755,1294.37,343.0,20037.088,247.284,9.0,0
2017-11-18,1.16,7780.9,7700.0,7857.5,7458.9,74380.0,1.05,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.0755,1294.37,343.0,20037.088,247.284,9.0,1
2017-11-19,1.16,8042.6,7781.0,8100.9,7675.4,68620.0,3.36,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.0755,1294.37,343.0,20037.088,247.284,9.0,1
2017-11-20,1.16,8244.7,8042.6,8294.1,7947.3,75700.0,2.51,1093.15,2582.139892578125,23430.330078125,6790.7099609375,3.1005,1276.7,345.0,20037.088,247.284,9.0,1
2017-11-21,1.16,8100.0,8245.9,8368.4,7819.1,115450.0,-1.76,1088.1,2599.030029296875,23590.830078125,6862.47998046875,3.1355,1280.48,345.0,20037.088,247.284,9.0,0
2017-11-22,1.16,8234.5,8099.9,8304.4,8091.6,65810.0,1.66,1085.66,2597.080078125,23526.1796875,6867.35986328125,3.144,1292.12,345.25,20037.088,247.284,9.0,1
2017-11-23,1.16,8013.4,8234.5,8266.5,8012.4,68010.0,-2.69,1085.66,2602.419921875,23557.990234375,6889.16015625,3.144,1291.25,345.25,20037.088,247.284,9.0,0
2017-11-24,1.16,8200.8,8013.4,8332.9,7900.2,73000.0,2.34,1082.59,2602.419921875,23557.990234375,6889.16015625,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-25,1.16,8754.7,8203.5,8762.0,8153.7,84670.0,6.75,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-26,1.16,9318.4,8754.6,9474.6,8746.6,85890.0,6.44,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.1765,1288.22,342.25,20037.088,247.284,9.0,1
2017-11-27,1.16,9733.2,9318.4,9733.6,9316.8,106900.0,4.45,1088.36,2601.419921875,23580.779296875,6878.52001953125,3.142,1294.5,338.75,20037.088,247.284,9.0,1
2017-11-28,1.16,9906.0,9732.6,9969.6,9638.2,87760.0,1.78,1079.87,2627.0400390625,23836.7109375,6912.35986328125,3.0815,1294.01,336.25,20037.088,247.284,9.0,1
2017-11-29,1.16,9837.9,9906.0,11417.8,8938.7,233330.0,-0.69,1079.33,2626.070068359375,23940.6796875,6824.39013671875,3.06,1283.57,339.0,20037.088,247.284,9.0,0
