Date,interest rate,Price,Vol.,USDKRW,S&P 500,Dow Jones,NASDAQ,Copper Close,Gold Close,Corn Close,GDP,CPI,WorkerRate,target
2017-12-31,1.33,13850.4,111270.0,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1302.55,350.75,20037.088,247.805,7.0,1
2018-01-01,1.33,13444.9,78430.0,1067.42,2695.81005859375,24824.009765625,7006.89990234375,3.3005,1306.86,350.75,20328.553,248.859,2.0,0
2018-01-02,1.42,14754.1,137730.0,1059.39,2695.81005859375,24824.009765625,7006.89990234375,3.278,1318.14,353.25,20328.553,248.859,2.0,1
2018-01-03,1.42,15156.6,106540.0,1063.11,2713.06005859375,24922.6796875,7065.52978515625,3.2575,1312.84,353.0,20328.553,248.859,2.0,1
2018-01-04,1.42,15180.1,110970.0,1061.5,2723.989990234375,25075.130859375,7077.91015625,3.263,1322.97,351.0,20328.553,248.859,2.0,1
2018-01-05,1.42,16954.8,141960.0,1060.07,2743.14990234375,25295.869140625,7136.56005859375,3.2295,1320.21,351.25,20328.553,248.859,2.0,1
2018-01-06,1.42,17172.3,83930.0,1066.26,2747.7099609375,25283.0,7157.39013671875,3.2295,1320.21,351.25,20328.553,248.859,2.0,1
2018-01-07,1.42,16228.2,79010.0,1066.26,2747.7099609375,25283.0,7157.39013671875,3.2295,1320.21,351.25,20328.553,248.859,2.0,0
2018-01-08,1.42,14976.2,142450.0,1066.26,2747.7099609375,25283.0,7157.39013671875,3.224,1320.58,347.25,20328.553,248.859,2.0,0
2018-01-09,1.42,14778.5,71400.0,1068.8,2751.2900390625,25385.80078125,7163.580078125,3.216,1312.66,349.0,20328.553,248.859,2.0,0
2018-01-10,1.42,15043.0,87070.0,1067.55,2748.22998046875,25369.130859375,7153.56982421875,3.2355,1317.19,349.0,20328.553,248.859,2.0,1
2018-01-11,1.42,13535.4,167810.0,1062.67,2767.56005859375,25574.73046875,7211.77978515625,3.233,1322.42,348.75,20328.553,248.859,2.0,0
2018-01-12,1.42,13886.7,82370.0,1062.09,2786.239990234375,25803.189453125,7261.06005859375,3.2185,1338.4,346.25,20328.553,248.859,2.0,1
2018-01-13,1.42,14292.2,61140.0,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1338.4,346.25,20328.553,248.859,2.0,1
2018-01-14,1.42,13695.2,85120.0,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1338.4,346.25,20328.553,248.859,2.0,0
2018-01-15,1.42,13697.5,73270.0,1062.09,2776.419921875,25792.859375,7223.68994140625,3.2185,1340.16,346.25,20328.553,248.859,2.0,1
2018-01-16,1.42,11362.0,317100.0,1064.19,2776.419921875,25792.859375,7223.68994140625,3.2195,1338.61,348.25,20328.553,248.859,2.0,0
2018-01-17,1.42,11192.3,361800.0,1066.72,2802.56005859375,26115.650390625,7298.27978515625,3.189,1327.73,353.0,20328.553,248.859,2.0,0
2018-01-18,1.42,11245.4,242450.0,1069.35,2798.030029296875,26017.810546875,7296.0498046875,3.199,1327.19,351.5,20328.553,248.859,2.0,1
2018-01-19,1.42,11580.2,170740.0,1065.81,2810.300048828125,26071.720703125,7336.3798828125,3.1875,1331.8,352.5,20328.553,248.859,2.0,1
2018-01-20,1.42,12858.9,143900.0,1068.06,2832.969970703125,26214.599609375,7408.02978515625,3.1875,1331.8,352.5,20328.553,248.859,2.0,1
2018-01-21,1.42,11594.9,206960.0,1068.06,2832.969970703125,26214.599609375,7408.02978515625,3.1875,1331.8,352.5,20328.553,248.859,2.0,0
2018-01-22,1.42,10864.8,201730.0,1068.06,2832.969970703125,26214.599609375,7408.02978515625,3.1985,1334.11,352.0,20328.553,248.859,2.0,0
2018-01-23,1.42,10903.2,188370.0,1072.59,2839.1298828125,26210.810546875,7460.2900390625,3.111,1341.39,351.25,20328.553,248.859,2.0,1
2018-01-24,1.42,11452.3,136060.0,1065.39,2837.5400390625,26252.119140625,7415.06005859375,3.2285,1358.15,356.5,20328.553,248.859,2.0,1
2018-01-25,1.42,11203.0,181810.0,1057.57,2839.25,26392.7890625,7411.16015625,3.2165,1348.05,355.25,20328.553,248.859,2.0,0
2018-01-26,1.42,11118.1,253910.0,1064.12,2872.8701171875,26616.7109375,7505.77001953125,3.199,1350.14,356.5,20328.553,248.859,2.0,0
2018-01-27,1.42,11467.5,163490.0,1071.28,2853.530029296875,26439.48046875,7466.509765625,3.199,1350.14,356.5,20328.553,248.859,2.0,1
2018-01-28,1.42,11795.1,154630.0,1071.28,2853.530029296875,26439.48046875,7466.509765625,3.199,1350.14,356.5,20328.553,248.859,2.0,1
2018-01-29,1.42,11244.8,137420.0,1071.28,2853.530029296875,26439.48046875,7466.509765625,3.194,1340.35,358.75,20328.553,248.859,2.0,0
2018-01-30,1.42,10166.0,264720.0,1073.61,2822.429931640625,26076.890625,7402.47998046875,3.1995,1338.55,361.5,20328.553,248.859,2.0,0
2018-01-31,1.34,10265.4,208470.0,1068.33,2823.81005859375,26149.390625,7411.47998046875,3.2065,1345.1,361.5,20328.553,248.859,2.0,1
2018-02-01,1.42,9181.1,358400.0,1069.33,2821.97998046875,26186.7109375,7385.85986328125,3.22,1349.19,361.75,20328.553,249.529,4.0,0
